Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
United Arab Emirates,715394,2036,0,713358,998,0.28,0.0,0.0,9890400,72332.0,708302,7092,1.0
United Kingdom,6729912,132699,0,6597213,32142,1.97,0.0,0.0,134862019,49902.0,6491529,238383,3.67
Uruguay,384622,6027,0,378595,91,1.57,0.0,0.0,3473727,110723.0,384026,596,0.16
Uzbekistan,154033,1064,0,152969,829,0.69,0.0,0.0,33469199,4602.0,148203,5830,3.93
Vanuatu,4,1,0,3,0,25.0,0.0,0.0,292680,14.0,4,0,0.0
Venezuela,332172,3986,0,328186,2436,1.2,0.0,0.0,28435943,11681.0,324642,7530,2.32
Vietnam,422469,10405,0,412064,12103,2.46,0.0,0.0,97338583,4340.0,336707,85762,25.47
West Bank and Gaza,335709,3669,0,332040,1237,1.09,0.0,0.0,4543126,73894.0,325404,10305,3.17
Yemen,7751,1450,0,6301,40,18.71,0.0,0.0,29825968,260.0,7487,264,3.53
Zambia,205893,3591,0,202302,189,1.74,0.0,0.0,18383956,11200.0,204337,1556,0.76
Zimbabwe,124367,4390,0,119977,131,3.53,0.0,0.0,14862927,8368.0,122487,1880,1.53
