Date,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of Countries
2021-05-10,158956713,3416705,95000511,60539497,621828,2.15,59.77,3.6,192
2021-05-11,159695372,3430937,95751515,60512920,738676,2.15,59.96,3.58,192
2021-05-12,160455532,3444780,96399064,60611688,760160,2.15,60.08,3.57,192
2021-05-13,161180910,3458475,97089181,60633254,725378,2.15,60.24,3.56,192
2021-05-14,161898884,3471533,97754528,60672823,717974,2.14,60.38,3.55,192
2021-05-15,162526809,3483756,98397065,60645988,627925,2.14,60.54,3.54,192
2021-05-16,163075247,3494013,99064469,60516765,548438,2.14,60.75,3.53,192
2021-05-17,163615302,3505173,99808931,60301198,540055,2.14,61.0,3.51,192
2021-05-18,164237839,3519369,100552044,60166426,624899,2.14,61.22,3.5,193
2021-05-19,164909690,3532937,101250071,60126682,671851,2.14,61.4,3.49,193
2021-05-20,165189643,3545994,101886760,59756889,628620,2.15,61.68,3.48,193
2021-05-21,165815461,3559002,102501548,59754911,625818,2.15,61.82,3.47,193
2021-05-22,166393650,3570542,103118309,59704799,578189,2.15,61.97,3.46,193
2021-05-23,166870105,3580301,103620280,59669524,476455,2.15,62.1,3.46,193
2021-05-24,167324530,3589361,104247872,59487297,454425,2.15,62.3,3.44,193
2021-05-25,167856780,3602570,104824935,59429275,532250,2.15,62.45,3.44,193
2021-05-26,168425512,3615310,105380748,59429454,568732,2.15,62.57,3.43,193
2021-05-27,168980272,3628325,106078106,59273841,554760,2.15,62.78,3.42,193
2021-05-28,169480491,3640289,106633069,59207133,500219,2.15,62.92,3.41,193
2021-05-29,169961717,3651050,107140669,59169998,481226,2.15,63.04,3.41,193
2021-05-30,170353101,3659352,107630598,59063151,391384,2.15,63.18,3.4,193
2021-05-31,170731966,3668044,108159767,58904155,378865,2.15,63.35,3.39,193
2021-06-01,171195756,3683374,108743650,58768732,463790,2.15,63.52,3.39,193
2021-06-02,171681518,3695198,109272024,58714296,485762,2.15,63.65,3.38,193
2021-06-03,172170773,3705113,109701214,58764446,489255,2.15,63.72,3.38,193
2021-06-04,172590497,3716073,110226716,58647708,419724,2.15,63.87,3.37,193
2021-06-05,172988813,3725256,110704846,58558711,398316,2.15,64.0,3.37,193
2021-06-06,173311486,3732482,111146372,58432632,322673,2.15,64.13,3.36,193
2021-06-07,173632673,3740539,111568369,58323765,321187,2.15,64.26,3.35,193
2021-06-08,173999551,3750919,111983105,58265527,366878,2.16,64.36,3.35,193
2021-06-09,174418936,3761388,112435800,58221748,419385,2.16,64.46,3.35,193
2021-06-10,174868561,3777398,112849489,58241674,449625,2.16,64.53,3.35,193
2021-06-11,175289699,3789319,113225021,58275359,421138,2.16,64.59,3.35,193
2021-06-12,175661655,3799103,113563995,58298557,371956,2.16,64.65,3.35,193
2021-06-13,175964517,3808376,113993656,58162485,302862,2.16,64.78,3.34,193
2021-06-14,176272978,3816242,114340430,58116306,308461,2.16,64.87,3.34,193
2021-06-15,176644570,3826812,114800575,58017183,371592,2.17,64.99,3.33,193
2021-06-16,177043004,3837139,115149802,58056063,398434,2.17,65.04,3.33,193
2021-06-17,177435613,3846407,115530280,58058926,392609,2.17,65.11,3.33,193
2021-06-18,177841560,3855622,115849843,58136095,405947,2.17,65.14,3.33,193
2021-06-19,178188982,3863699,116181693,58143590,347422,2.17,65.2,3.33,194
2021-06-20,178489136,3870351,116446787,58171998,300154,2.17,65.24,3.32,194
2021-06-21,178786607,3877401,116804005,58105201,297471,2.17,65.33,3.32,194
2021-06-22,179158961,3886380,117107409,58165172,372354,2.17,65.37,3.32,194
2021-06-23,179595960,3895894,117507152,58192914,436999,2.17,65.43,3.32,194
2021-06-24,179999968,3904514,117796863,58298591,404008,2.17,65.44,3.31,194
2021-06-25,180421563,3913719,118125510,58382334,421595,2.17,65.47,3.31,194
2021-06-26,180784528,3921192,118420069,58443267,362965,2.17,65.5,3.31,194
2021-06-27,181094259,3927237,118678808,58488214,309731,2.17,65.53,3.31,194
2021-06-28,181426230,3933868,119006264,58486098,331971,2.17,65.59,3.31,194
2021-06-29,181810391,3941988,119299680,58568723,384161,2.17,65.62,3.3,194
2021-06-30,182204188,3951154,119580621,58672413,393820,2.17,65.63,3.3,194
2021-07-01,182644796,3959869,120008477,58676450,440608,2.17,65.71,3.3,194
2021-07-02,183084838,3968103,120299519,58817216,440042,2.17,65.71,3.3,194
2021-07-03,183460191,3974950,120569294,58915947,375353,2.17,65.72,3.3,194
2021-07-04,183787086,3981527,120868182,58937377,326895,2.17,65.77,3.29,194
2021-07-05,184158433,3988978,121235175,58934280,371347,2.17,65.83,3.29,194
2021-07-06,184612685,3997551,121563018,59052116,454252,2.17,65.85,3.29,194
2021-07-07,185076418,4006107,121831181,59239130,463733,2.16,65.83,3.29,194
2021-07-08,185558053,4014953,122123832,59419268,481635,2.16,65.81,3.29,194
2021-07-09,186066135,4023397,122462950,59579788,508082,2.16,65.82,3.29,194
2021-07-10,186492594,4030000,122907154,59555440,426459,2.16,65.9,3.28,194
2021-07-11,186857048,4037464,123197640,59621944,364454,2.16,65.93,3.28,194
2021-07-12,187297362,4045694,123499876,59751792,440314,2.16,65.94,3.28,194
2021-07-13,187816362,4053970,123783323,59979069,519000,2.16,65.91,3.28,194
2021-07-14,188357728,4062677,124113064,60181987,541366,2.16,65.89,3.27,194
2021-07-15,188928250,4071167,124394120,60462963,570522,2.15,65.84,3.27,194
2021-07-16,189527121,4079848,124784825,60662448,598871,2.15,65.84,3.27,194
2021-07-17,190000872,4086906,125065614,60848352,473751,2.15,65.82,3.27,194
2021-07-18,190423378,4093920,125382097,60947361,422506,2.15,65.84,3.27,194
2021-07-19,190923137,4101168,125688818,61133151,499759,2.15,65.83,3.26,194
2021-07-20,191455176,4121920,126008998,61324258,532039,2.15,65.82,3.27,194
2021-07-21,192014923,4130585,126315581,61568757,559747,2.15,65.78,3.27,194
2021-07-22,192582019,4139414,126671709,61770896,567096,2.15,65.78,3.27,194
2021-07-23,193271311,4147154,126918099,62206058,689292,2.15,65.67,3.27,194
2021-07-24,193745597,4156369,127435325,62153903,533662,2.15,65.77,3.26,194
2021-07-25,194178118,4163613,127762742,62251763,432521,2.14,65.8,3.26,194
2021-07-26,194722160,4171474,128063203,62487483,544042,2.14,65.77,3.26,194
2021-07-27,195334312,4181348,128409042,62743922,612152,2.14,65.74,3.26,194
2021-07-28,195977936,4191584,128745705,63040647,643624,2.14,65.69,3.26,194
2021-07-29,196629548,4202417,129094093,63333038,651612,2.14,65.65,3.26,194
2021-07-30,197366143,4211940,129401284,63752919,736595,2.13,65.56,3.25,194
2021-07-31,197874820,4220803,129705213,63948804,508677,2.13,65.55,3.25,194
2021-08-01,198337851,4227874,129994391,64115586,463031,2.13,65.54,3.25,194
2021-08-02,198925009,4236104,130277535,64411370,587158,2.13,65.49,3.25,194
2021-08-03,199565838,4246440,130582003,64737395,640829,2.13,65.43,3.25,194
2021-08-04,200236965,4257021,130899063,65080881,671127,2.13,65.37,3.25,194
2021-08-05,200924907,4268003,0,196656904,687942,2.12,0.0,inf,194
2021-08-06,201746216,4278575,0,197467641,821309,2.12,0.0,inf,194
2021-08-07,202290948,4287156,0,198003792,544732,2.12,0.0,inf,194
2021-08-08,202728257,4294597,0,198433660,437309,2.12,0.0,inf,194
2021-08-09,203388287,4303251,0,199085036,660030,2.12,0.0,inf,194
2021-08-10,204022415,4314753,0,199707662,634128,2.11,0.0,inf,194
2021-08-11,204729287,4324712,0,200404575,706872,2.11,0.0,inf,194
2021-08-12,205414237,4334998,0,201079239,684950,2.11,0.0,inf,194
2021-08-13,206280804,4346294,0,201934510,866567,2.11,0.0,inf,194
2021-08-14,206807532,4354954,0,202452578,526728,2.11,0.0,inf,194
2021-08-15,207267405,4362172,0,202905233,459873,2.1,0.0,inf,194
2021-08-16,207937135,4371625,0,203565510,669730,2.1,0.0,inf,194
2021-08-17,208595863,4382332,0,204213531,658728,2.1,0.0,inf,194
2021-08-18,209303418,4393134,0,204910284,707555,2.1,0.0,inf,194
2021-08-19,210000137,4403757,0,205596380,696719,2.1,0.0,inf,194
2021-08-20,210864207,4415382,0,206448825,864070,2.09,0.0,inf,194
2021-08-21,211400052,4424142,0,206975910,535845,2.09,0.0,inf,194
2021-08-22,211843435,4431650,0,207411785,443383,2.09,0.0,inf,195
2021-08-23,212540765,4441453,0,208099312,697330,2.09,0.0,inf,195
2021-08-24,213205582,4452511,0,208753071,664817,2.09,0.0,inf,195
2021-08-25,213914268,4463821,0,209450447,708686,2.09,0.0,inf,195
2021-08-26,214627005,4474529,0,210152476,712737,2.08,0.0,inf,195
2021-08-27,215451773,4486104,0,210965669,824768,2.08,0.0,inf,195
2021-08-28,215990342,4494594,0,211495748,538569,2.08,0.0,inf,195
